,,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,
NORTE,ESTE,kg,ppb,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,
4626659,548752,4.16,<5,<0.2,3.55,16,<10,60,<0.5,2,0.36,<0.5,29,58,981,7.32,10,<1,0.06,<10,2.88,2600,1,0.06,14,170,3,0.02,<2,25,17,<20,0.01,<10,<10,220,<10,205,
4626706,548740,3.58,6,<0.2,5.21,8,<10,60,<0.5,<2,0.67,<0.5,31,61,317,10.25,10,<1,0.06,<10,3.98,3420,1,0.05,13,220,5,<0.01,3,23,6,<20,0.01,<10,<10,243,<10,300,
4626715,548252,04.08,416,2.5,0.32,748,<10,310,<0.5,2,0.12,<0.5,<1,2,524,3.16,<10,<1,0.36,<10,0.03,26,17,0.06,<1,50,4,0.54,<2,1,34,<20,<0.01,<10,<10,8,<10,3,
4626653,548248,03.06,5,<0.2,0.76,22,10,120,<0.5,<2,4.36,0.6,20,5,234,7.94,<10,<1,0.08,<10,1.19,2740,3,0.07,3,500,4,0.14,<2,19,26,<20,<0.01,<10,<10,160,<10,233,
4626754,548314,4.14,21,1.3,0.53,26,10,80,<0.5,<2,02.06,0.5,6,1,9840,3.78,<10,1,0.22,<10,0.68,679,2,0.04,<1,430,4,0.02,<2,3,30,<20,<0.01,<10,<10,30,<10,256,
4626748,548366,3.46,20,1,0.45,52,10,40,<0.5,<2,0.03,<0.5,4,1,913,2.78,<10,<1,0.23,<10,0.12,211,1,0.04,<1,510,<2,0.34,<2,2,5,<20,<0.01,<10,<10,5,<10,64,
4626753,548393,4.54,20,0.7,1.84,32,<10,40,<0.5,<2,0.5,<0.5,24,3,1515,8.62,10,<1,0.04,<10,2.17,2350,2,0.05,2,590,4,1.77,<2,15,25,<20,<0.01,<10,<10,102,<10,213,
4626696,548320,2.62,74,2.4,0.33,562,<10,30,<0.5,9,0.05,<0.5,1,5,673,5.27,<10,<1,0.12,<10,0.02,63,5,0.04,<1,570,<2,0.06,<2,2,10,<20,<0.01,<10,<10,11,<10,96,
4627073,548900,3.82,6,0.2,3.46,3,<10,60,<0.5,<2,0.6,<0.5,36,79,>10000,7.97,10,<1,0.1,<10,3.22,1480,1,0.05,32,120,<2,0.04,<2,30,15,<20,0.01,<10,<10,224,<10,200,1
4626665,548306,4.26,9,<0.2,0.42,4,<10,210,<0.5,<2,0.04,<0.5,4,1,155,4.69,<10,<1,0.19,<10,0.03,97,1,0.05,<1,530,<2,0.17,<2,2,14,<20,<0.01,<10,<10,7,<10,73,
4626755,549008,3.18,<5,<0.2,1.28,9,<10,20,<0.5,<2,0.24,<0.5,9,2,8,4.69,10,<1,0.13,<10,1.15,412,<1,0.08,2,520,2,3.45,<2,9,3,<20,0.1,<10,<10,80,<10,47,
4626750,549063,4.66,<5,<0.2,1.45,5,<10,20,<0.5,<2,0.02,<0.5,7,3,112,4.23,10,<1,0.18,<10,0.95,356,<1,0.09,1,400,6,1.31,<2,7,6,<20,<0.01,<10,<10,76,<10,35,
4626751,549094,4.46,<5,<0.2,1.78,2,<10,180,<0.5,<2,0.1,<0.5,7,2,49,3.8,10,<1,0.12,<10,01.08,1005,1,0.06,2,590,<2,0.42,<2,6,6,<20,<0.01,<10,<10,39,<10,88,
4626758,549165,3.82,8,<0.2,0.43,6,<10,60,<0.5,<2,0.04,<0.5,1,1,35,2.28,<10,<1,0.24,<10,0.03,52,2,0.07,1,560,2,0.19,<2,3,6,<20,<0.01,<10,<10,4,<10,42,
4626765,548957,3.92,<5,<0.2,6.26,6,<10,20,<0.5,<2,1.7,<0.5,39,66,12,11.4,10,<1,0.04,<10,5.43,3950,<1,0.04,20,210,<2,0.02,<2,36,17,<20,0.01,<10,<10,254,<10,357,
4626800,548852,3.62,12,2.7,0.38,55,<10,50,<0.5,8,0.04,<0.5,1,4,5240,2.92,<10,<1,0.18,<10,0.02,55,3,0.03,<1,560,6,0.04,<2,1,8,<20,<0.01,<10,<10,9,<10,27,
4626761,548842,4.5,<5,<0.2,4.76,2,10,80,<0.5,2,1.69,0.5,38,34,241,7.19,10,<1,0.07,<10,5.16,5170,<1,0.04,14,250,3,0.02,<2,33,16,<20,<0.01,<10,<10,245,<10,1060,
4626815,548942,4.78,<5,<0.2,3.37,4,<10,40,<0.5,<2,1.53,<0.5,41,70,119,6.32,10,<1,0.03,<10,3.59,1925,<1,0.08,28,170,<2,0.02,<2,27,21,<20,0.23,<10,<10,217,<10,208,
4626837,548969,3.8,5,0.4,3.69,6,<10,20,<0.5,2,0.09,<0.5,30,61,1805,7.73,10,<1,0.05,10,2.92,2590,<1,0.05,13,130,<2,0.05,<2,19,4,<20,<0.01,<10,<10,168,<10,210,
4626956,548842,4.24,6,<0.2,0.45,10,<10,100,<0.5,<2,0.08,0.8,3,2,1875,2.42,<10,<1,0.14,<10,0.05,104,4,0.08,1,580,<2,0.08,<2,4,12,<20,<0.01,<10,<10,11,<10,76,
4626966,548891,3.36,11,<0.2,0.98,8,<10,200,<0.5,<2,0.17,<0.5,3,17,376,8.85,10,<1,0.22,<10,0.12,79,1,0.05,4,330,<2,0.07,<2,14,16,<20,<0.01,<10,<10,237,<10,59,
4626808,549001,3.26,<5,<0.2,2.63,4,<10,40,<0.5,<2,0.66,<0.5,20,3,97,5.89,10,<1,0.05,<10,02.06,2250,<1,0.07,4,560,3,1.7,<2,17,14,<20,0.19,<10,<10,180,<10,184,
4626890,548908,5.38,<0.2,2.84,2,10,30,<0.5,<2,2.14,<0.5,32,36,629,09.06,10,<1,0.02,<10,2.47,2890,1,0.05,12,200,<2,<0.01,3,28,9,<20,<0.01,<10,<10,255,<10,198,,
4626889,548963,2.66,<0.2,4.42,<2,<10,10,<0.5,<2,0.45,<0.5,37,49,380,8.49,10,1,0.01,<10,3.71,4620,<1,0.06,28,130,4,<0.01,<2,20,23,<20,0.09,<10,<10,211,<10,341,,
4626896,548841,3.38,0.6,0.41,49,<10,70,<0.5,<2,0.03,<0.5,<1,2,165,2.4,<10,<1,0.18,<10,0.02,33,8,0.04,1,100,<2,0.02,<2,1,16,<20,<0.01,<10,<10,7,<10,5,,
4626865,548848,3.2,0.2,0.38,5,<10,40,<0.5,18,0.04,<0.5,2,2,223,3.76,<10,<1,0.16,<10,0.05,91,<1,0.05,1,250,<2,<0.01,<2,2,5,<20,<0.01,<10,<10,13,<10,101,,
